Id,City,UseYear,RoadWide,RegisterReason,MaterialCode,BuildTotalLevel,BuildLevel,PurposeCode,buildRate,UsedState,JcicBuildMaterialCode,JcicBuildPurposeCode,OtherBuildPurpose,StallPrice,StallNum,StallAreaSize,TotalAreaSize,RegisterPurpose1,RegisterPurpose2,RegisterPurpose3,RegisterPurpose4,RegisterPurpose5,RegisterPurpose6,landSize,IdenPrice
1,3,29,12,02,04,7,6,35,21.000000,01,E,A,3,0.000,0,0.00,19.32,9.440000,0.920000,2.740000,0.000000,0.000000,0.000000,7.24,136000.000
2,3,29,12,02,04,7,6,35,21.000000,01,E,A,3,0.000,0,0.00,19.32,9.440000,0.920000,2.740000,0.000000,0.000000,0.000000,7.24,136000.000
3,1,16,12,02,04,4,1,30,0.000000,01,E,D,3,0.000,0,0.00,124.07,34.210000,3.320000,0.000000,0.000000,0.000000,0.000000,47.20,42000.000
4,9,44,6,02,04,4,2,35,0.000000,04,E,A,4,0.000,0,0.00,24.68,7.470000,0.000000,0.000000,0.000000,0.000000,0.000000,11.40,290000.000
5,3,23,20,06,04,8,2,35,27.000000,01,E,A,3,350000.000,1,1.99,38.31,7.580000,0.890000,3.110000,0.600000,0.000000,0.000000,6.03,130000.000
6,1,25,6,02,04,6,2,35,8.000000,01,E,A,3,1100000.000,2,7.64,49.41,12.450000,1.360000,1.140000,2.320000,0.000000,0.000000,11.44,125000.000
7,9,31,18,01,04,5,4,35,0.000000,01,E,A,3,0.000,0,0.00,32.03,8.640000,1.050000,0.000000,0.000000,0.000000,0.000000,8.27,280000.000
8,4,25,6,01,04,3,1,35,0.000000,01,E,A,3,0.000,0,0.00,42.19,10.560000,2.200000,0.000000,0.000000,0.000000,0.000000,22.61,110000.000
9,3,14,6,02,04,4,1,35,0.000000,01,E,A,3,0.000,0,0.00,51.52,14.060000,1.520000,0.000000,0.000000,0.000000,0.000000,22.86,39000.000
10,3,4,12,02,04,4,1,10,0.000000,04,E,A,3,0.000,0,0.00,84.35,23.430000,2.090000,0.000000,0.000000,0.000000,0.000000,29.66,49000.000
11,1,14,5,02,04,4,1,35,0.000000,01,E,A,3,0.000,0,0.00,51.08,12.600000,2.850000,0.000000,0.000000,0.000000,0.000000,22.48,45000.000
12,9,23,6,02,04,5,4,35,10.000000,01,E,A,3,1200000.000,1,8.80,34.96,8.530000,1.010000,1.030000,2.660000,0.000000,0.000000,11.50,270000.000
13,1,12,15,04,04,4,1,35,0.000000,01,E,A,4,0.000,0,0.00,62.00,15.290000,3.460000,0.000000,0.000000,0.000000,0.000000,30.63,44000.000
14,1,23,20,02,04,17,1,30,18.000000,04,E,D,3,0.000,0,0.00,75.12,17.310000,1.380000,4.040000,0.000000,0.000000,0.000000,8.58,88000.000
15,3,5,18,02,04,4,1,35,0.000000,01,E,A,3,0.000,0,0.00,82.96,22.840000,2.250000,0.000000,0.000000,0.000000,0.000000,35.73,48000.000
16,10,34,20,02,04,12,5,34,20.000000,01,E,B,3,0.000,0,0.00,18.25,4.000000,0.420000,1.100000,0.000000,0.000000,0.000000,1.69,540000.000
17,9,32,9,02,04,5,5,35,0.000000,01,E,A,3,0.000,0,0.00,29.46,8.510000,0.400000,0.000000,0.000000,0.000000,0.000000,6.83,200000.000
18,9,17,7,02,04,4,1,10,3.000000,01,E,Z,3,0.000,0,0.00,69.69,18.700000,1.720000,0.660000,0.000000,0.000000,0.000000,66.35,175000.000
19,10,39,8,02,04,5,5,35,0.000000,70,E,A,3,0.000,0,0.00,25.56,6.620000,1.110000,0.000000,0.000000,0.000000,0.000000,7.08,350000.000
20,3,22,30,06,04,7,5,35,17.000000,01,E,A,3,450000.000,1,4.00,43.78,9.510000,1.450000,2.280000,1.210000,0.000000,0.000000,3.03,125000.000
21,9,45,11,02,04,4,4,35,0.000000,01,E,A,4,0.000,0,0.00,21.18,6.410000,0.000000,0.000000,0.000000,0.000000,0.000000,6.28,340000.000
22,1,22,8,02,04,9,7,10,14.000000,01,E,Z,3,400000.000,1,3.95,30.04,6.910000,0.950000,1.230000,1.190000,0.000000,0.000000,4.02,90000.000
23,9,22,6,06,04,5,4,35,5.000000,04,E,A,3,0.000,0,0.00,32.21,8.130000,1.140000,0.470000,0.000000,0.000000,0.000000,10.94,175000.000
24,1,14,15,02,04,4,1,11,0.000000,01,E,Z,3,0.000,0,0.00,63.85,17.240000,2.080000,0.000000,0.000000,0.000000,0.000000,25.02,45000.000
25,3,23,14,02,04,15,8,35,25.000000,01,E,A,4,1000000.000,1,8.02,50.41,10.440000,1.020000,3.790000,2.430000,0.000000,0.000000,6.06,158000.000
26,3,16,16,06,04,3,1,30,0.000000,04,E,D,3,0.000,0,0.00,59.86,16.250000,1.860000,0.000000,0.000000,0.000000,0.000000,23.40,35000.000
27,4,17,10,02,04,10,8,35,21.000000,01,E,A,4,0.000,0,0.00,31.51,6.240000,1.280000,2.040000,2.420000,0.000000,0.000000,4.21,140000.000
28,1,20,24,02,04,12,5,35,12.000000,01,E,A,3,600000.000,1,60.00,35.76,8.010000,1.490000,1.320000,2.020000,0.000000,0.000000,5.30,170000.000
29,9,21,8,02,04,4,1,35,28.000000,01,E,A,3,0.000,1,0.00,65.64,12.730000,1.620000,5.500000,0.000000,0.000000,0.000000,26.52,170000.000
30,10,30,11,02,04,12,8,35,23.000000,01,E,A,4,0.000,0,0.00,32.54,6.840000,0.780000,2.220000,0.000000,0.000000,0.000000,6.94,440000.000
31,9,23,32,02,04,18,14,35,24.000000,01,E,A,4,1600000.000,1,11.00,33.35,6.690000,1.020000,2.370000,3.330000,0.000000,0.000000,3.20,310000.000
32,9,37,5,02,08,2,1,35,0.000000,09,C,A,4,0.000,0,0.00,27.95,8.460000,0.000000,0.000000,0.000000,0.000000,0.000000,16.21,270000.000
33,3,20,12,01,04,4,1,30,0.000000,01,E,D,3,0.000,0,0.00,66.01,19.250000,0.720000,0.000000,0.000000,0.000000,0.000000,29.04,33000.000
34,3,15,30,01,10,3,1,29,0.000000,01,G,E,4,0.000,0,0.00,177.56,53.710000,0.000000,0.000000,0.000000,0.000000,0.000000,82.56,44000.000
35,3,22,10,02,04,8,3,35,84.000000,01,E,A,3,600000.000,1,4.01,29.96,7.090000,1.000000,43.030000,1.210000,0.000000,0.000000,5.69,147000.000
36,1,12,6,02,04,4,1,35,0.000000,04,E,A,3,0.000,0,0.00,86.53,21.620000,4.560000,0.000000,0.000000,0.000000,0.000000,25.11,40000.000
37,3,23,8,02,04,12,7,10,33.000000,01,E,A,3,0.000,0,0.00,45.68,8.580000,1.690000,4.950000,0.000000,0.000000,0.000000,7.08,110000.000
38,4,19,10,02,04,14,9,35,19.000000,01,E,A,3,0.000,0,0.00,39.96,8.710000,1.130000,2.260000,0.000000,0.000000,0.000000,4.47,210000.000
39,1,36,6,02,04,5,5,11,0.000000,01,E,Z,4,0.000,0,0.00,23.47,7.100000,0.000000,0.000000,0.000000,0.000000,0.000000,8.05,90000.000
40,10,48,6,02,04,5,1,35,0.000000,04,H,A,4,0.000,0,0.00,10.32,3.000000,0.120000,0.000000,0.000000,0.000000,0.000000,4.38,520000.000
41,9,39,5,01,04,4,1,35,0.000000,01,E,A,4,0.000,0,0.00,26.67,8.070000,0.000000,0.000000,0.000000,0.000000,0.000000,14.08,490000.000
42,1,4,15,02,04,4,1,35,0.000000,01,E,A,3,0.000,0,0.00,72.93,20.170000,1.900000,0.000000,0.000000,0.000000,0.000000,34.41,55000.000
43,1,25,8,02,04,17,5,35,23.000000,01,E,A,4,0.000,0,0.00,33.47,6.880000,0.890000,2.340000,0.000000,0.000000,0.000000,4.02,90000.000
44,3,26,8,06,04,6,1,35,25.000000,01,E,A,4,800000.000,0,0.00,43.40,9.700000,0.200000,3.240000,1.620000,0.000000,0.000000,13.22,160000.000
45,9,9,8,02,04,17,3,35,31.000000,04,E,A,4,700000.000,1,8.37,26.12,4.800000,0.680000,2.430000,2.530000,0.000000,0.000000,5.32,205000.000
46,9,22,8,02,04,12,9,35,21.000000,01,E,A,3,1200000.000,1,8.71,33.76,7.210000,0.880000,2.120000,2.630000,0.000000,0.000000,15.34,270000.000
47,9,25,14,02,04,14,3,35,8.000000,01,E,A,4,0.000,0,0.00,34.23,8.930000,0.910000,0.850000,0.000000,0.000000,0.000000,5.14,310000.000
48,3,26,12,02,04,11,3,35,20.000000,01,E,A,3,0.000,0,0.00,29.78,6.320000,0.860000,1.830000,0.000000,0.000000,0.000000,4.98,137000.000
49,9,32,6,02,04,5,4,35,6.000000,70,E,A,3,0.000,0,0.00,28.00,7.080000,0.840000,0.540000,0.000000,0.000000,0.000000,8.80,230000.000
50,9,43,8,02,04,4,4,35,0.000000,01,E,A,4,0.000,0,0.00,21.18,6.410000,0.000000,0.000000,0.000000,0.000000,0.000000,6.28,285000.000
51,9,43,5,02,04,4,2,35,0.000000,01,E,A,4,0.000,0,0.00,23.65,7.150000,0.000000,0.000000,0.000000,0.000000,0.000000,10.59,350000.000
52,9,14,7,02,04,8,4,35,22.000000,09,C,A,3,0.000,0,0.00,31.27,6.380000,0.980000,2.090000,0.000000,0.000000,0.000000,6.61,240000.000
53,1,18,8,04,04,14,8,35,26.000000,02,E,A,4,700000.000,1,6.41,40.19,8.090000,1.000000,3.190000,1.940000,0.000000,0.000000,6.59,90000.000
54,1,13,16,02,04,5,1,11,0.000000,04,E,Z,3,0.000,0,0.00,57.69,14.840000,2.610000,0.000000,0.000000,0.000000,0.000000,21.32,45000.000
55,9,7,10,02,04,14,9,10,32.000000,01,E,A,4,3800000.000,2,9.74,66.77,11.730000,2.000000,6.460000,2.940000,0.000000,0.000000,10.89,380000.000
56,9,30,20,02,04,5,4,35,0.000000,01,E,A,3,0.000,0,0.00,30.70,8.330000,0.950000,0.000000,0.000000,0.000000,0.000000,8.50,250000.000
57,10,40,8,01,04,5,1,30,0.000000,01,E,D,4,0.000,0,0.00,31.34,8.230000,1.250000,0.000000,0.000000,0.000000,0.000000,9.30,560000.000
58,9,23,12,02,04,18,11,35,17.000000,01,E,A,4,0.000,0,0.00,32.42,6.850000,1.270000,1.680000,0.000000,0.000000,0.000000,2.23,310000.000
