ID,BuildPurpose,PurposeItem,CityItem,AreaItem,BuildMaterial,MaterialItem,PublicArea,BuildType,BuildComDate,BuildLayer,AplraiseUnitValue,Item,AdjBuildArea,AplraiseValue,RecStat,DebtPerc
1,A,住家用,新北市,新莊區,4,鋼筋混凝土造,16.23,R2,1999/11/15 上午 12:00:00,8,280000,陽台,3.05,10782800,1,48
2,A,住家用,新北市,新莊區,8,加強磚造,,R1,1968/2/1 上午 12:00:00,4,220000,,,4914800,1,37
3,A,住家用,新北市,新莊區,4,鋼筋混凝土造,28.99,R2,1993/8/3 上午 12:00:00,2,290000,陽台,2.84,16726000,1,25
4,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,31.11,R2,2012/1/18 上午 12:00:00,9,380000,其他,6.62,29172600,1,38
5,A,住家用,新北市,新莊區,4,鋼筋混凝土造,7.07,R2,1996/12/4 上午 12:00:00,3,280000,陽台,2.83,8652000,1,8
6,C,工業用,新北市,新莊區,4,鋼筋混凝土造,,R1,1973/5/10 上午 12:00:00,2,235000,,,5287500,1,58
7,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1981/1/29 上午 12:00:00,3,235000,,,5388550,1,75
8,A,住家用,新北市,新莊區,4,鋼筋混凝土造,5.1,R2,2001/12/19 上午 12:00:00,8,300000,陽台,1.88,5103000,1,42
9,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,20.13,R2,2012/12/13 上午 12:00:00,14,295000,其他,3.12,13116500,1,70
10,A,住家用,新北市,新莊區,4,鋼筋混凝土造,32.06,R2,2000/1/17 上午 12:00:00,12,365000,陽台,2.27,15683750,1,70
11,A,住家用,新北市,新莊區,4,鋼筋混凝土造,2.61,R1,1987/12/8 上午 12:00:00,5,260000,陽台,4.37,9094800,1,42
12,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1978/11/24 上午 12:00:00,2,295000,,,7908950,1,75
13,A,住家用,新北市,新莊區,4,鋼筋混凝土造,6.66,R2,1995/7/13 上午 12:00:00,7,310000,陽台,2.3,5883800,1,56
14,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,35.41,R2,2012/4/25 上午 12:00:00,15,365000,其他,7.39,25656950,1,12
15,A,住家用,新北市,新莊區,4,鋼筋混凝土造,6.72,R2,1994/8/19 上午 12:00:00,8,182800,陽台,27.72,11046604,1,59
16,A,住家用,新北市,新莊區,4,鋼筋混凝土造,41.11,R2,1999/5/26 上午 12:00:00,2,280000,陽台,2.79,38973400,1,45
17,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1984/5/21 上午 12:00:00,3,240000,陽台,2.25,5848800,1,73
18,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,25.54,R5,2009/11/18 上午 12:00:00,999,230000,其他,10.04,23064400,1,48
19,A,住家用,新北市,新莊區,4,鋼筋混凝土造,11.17,R2,1995/1/16 上午 12:00:00,3,260000,陽台,4.1,14227200,1,15
20,A,住家用,新北市,新莊區,4,鋼筋混凝土造,3.86,R2,1994/5/26 上午 12:00:00,2,300000,陽台,2.67,6300000,1,33
21,A,住家用,新北市,新莊區,4,鋼筋混凝土造,6.72,R2,1994/8/19 上午 12:00:00,8,182800,陽台,27.72,11046604,1,59
22,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,6.82,R2,2006/12/27 上午 12:00:00,9,260000,其他,1.81,7116200,1,40
23,A,住家用,新北市,新莊區,4,鋼筋混凝土造,6.23,R2,1993/12/7 上午 12:00:00,4,300000,其他,1.78,6747000,1,23
24,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,15.51,R2,1991/4/22 上午 12:00:00,B2B3,0,,,16912500,1,42
25,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,14.95,R2,1993/9/7 上午 12:00:00,B1,310000,,,15213600,1,38
26,A,住家用,新北市,新莊區,4,鋼筋混凝土造,8.9,R2,1998/12/11 上午 12:00:00,5,250000,陽台,1,9685000,1,32
27,A,住家用,新北市,新莊區,4,鋼筋混凝土造,8.9,R2,1998/12/11 上午 12:00:00,5,250000,陽台,1,9685000,1,32
28,A,住家用,新北市,新莊區,4,鋼筋混凝土造,4.41,R1,1991/2/5 上午 12:00:00,5,245000,陽台,2.97,8871450,1,20
29,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1982/9/8 上午 12:00:00,2,220000,陽台,3.03,4182200,1,62
30,A,住家用,新北市,新莊區,8,加強磚造,,R1,1977/4/2 上午 12:00:00,3,220000,,,5491200,1,36
31,A,住家用,新北市,新莊區,8,加強磚造,,R1,1976/4/14 上午 12:00:00,4,270000,,,9612000,1,55
32,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1980/9/4 上午 12:00:00,3,245000,,,6066200,1,18
33,A,住家用,新北市,新莊區,8,加強磚造,,R5,1974/2/26 上午 12:00:00,999,8000,,,13944000,1,9
34,F,住商用,新北市,新莊區,4,鋼筋混凝土造,,R1,1981/12/22 上午 12:00:00,1,300000,其他,3.74,8793000,1,59
35,A,住家用,新北市,新莊區,4,鋼筋混凝土造,4.81,R2,1994/11/11 上午 12:00:00,8,320000,陽台,2.21,7305600,1,15
36,A,住家用,新北市,新莊區,4,鋼筋混凝土造,2.47,R1,1986/12/12 上午 12:00:00,4,250000,陽台,4.09,8007500,1,47
37,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1980/2/5 上午 12:00:00,4,220000,,,5282200,1,21
38,A,住家用,新北市,新莊區,4,鋼筋混凝土造,4.9,R1,1989/10/14 上午 12:00:00,1,280000,其他,2.7,9800000,1,43
39,A,住家用,新北市,新莊區,4,鋼筋混凝土造,10.59,R2,1990/4/19 上午 12:00:00,7,280000,陽台,3.87,13405600,1,62
40,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,35.41,R2,2012/4/25 上午 12:00:00,15,370000,其他,7.39,25959100,1,8
41,A,住家用,新北市,新莊區,4,鋼筋混凝土造,9.02,R2,1995/1/2 上午 12:00:00,8,280000,陽台,2.8,8792000,1,25
42,C,工業用,新北市,新莊區,4,鋼筋混凝土造,5.27,R2,1994/5/26 上午 12:00:00,1月2日,280000,陽台,2.36,10878000,1,43
43,A,住家用,新北市,新莊區,4,鋼筋混凝土造,24.48,R2,2006/12/21 上午 12:00:00,5,335000,其他,6.35,21823450,1,78
44,A,住家用,新北市,新莊區,4,鋼筋混凝土造,7.07,R2,1996/12/4 上午 12:00:00,3,280000,陽台,2.83,8652000,1,8
45,A,住家用,新北市,新莊區,4,鋼筋混凝土造,23.39,R2,2000/10/2 上午 12:00:00,12,320000,陽台,3.99,15265600,1,26
46,A,住家用,新北市,新莊區,4,鋼筋混凝土造,17.28,R1,1991/6/12 上午 12:00:00,4月5日,187900,其他,17.64,14396217,1,59
47,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1985/5/17 上午 12:00:00,3,260000,陽台,3.33,6682000,1,67
48,A,住家用,新北市,新莊區,4,鋼筋混凝土造,5.1,R2,2001/12/19 上午 12:00:00,8,300000,陽台,1.88,5103000,1,52
49,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1982/9/8 上午 12:00:00,2,220000,陽台,3.03,4182200,1,62
50,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,7.03,R2,2017/8/4 上午 12:00:00,13,300000,其他,1.61,6297000,1,56
51,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1980/7/21 上午 12:00:00,5,290000,,,10321100,1,76
52,A,住家用,新北市,新莊區,8,加強磚造,,R1,1973/10/16 上午 12:00:00,1,420000,,,11814600,1,65
53,B,商業用,新北市,新莊區,4,鋼筋混凝土造,10.59,R2,1990/4/19 上午 12:00:00,B1,0,,,13405600,1,62
54,B,商業用,新北市,新莊區,4,鋼筋混凝土造,41.11,R2,1999/5/26 上午 12:00:00,1,450000,陽台,2.23,38973400,1,52
55,A,住家用,新北市,新莊區,4,鋼筋混凝土造,6.24,R2,2004/11/26 上午 12:00:00,12,260000,陽台,1.55,6507800,1,68
56,A,住家用,新北市,新莊區,4,鋼筋混凝土造,3.17,R2,1993/7/27 上午 12:00:00,6,320000,其他,3.79,10815200,1,26
57,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1989/5/27 上午 12:00:00,5,220000,陽台,3.59,7246800,1,41
58,A,住家用,新北市,新莊區,8,加強磚造,,R1,1973/10/16 上午 12:00:00,1,420000,,,11814600,1,65
59,A,住家用,新北市,新莊區,4,鋼筋混凝土造,16.73,R2,2006/12/29 上午 12:00:00,11,370000,其他,2.98,14964500,1,8
60,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1979/8/22 上午 12:00:00,5,240000,,,6410400,1,18
61,A,住家用,新北市,新莊區,4,鋼筋混凝土造,6.44,R2,1999/5/26 上午 12:00:00,4,280000,陽台,1.68,9724400,1,70
62,A,住家用,新北市,新莊區,4,鋼筋混凝土造,41.11,R2,1999/5/26 上午 12:00:00,2,280000,陽台,2.79,38973400,1,52
63,A,住家用,新北市,新莊區,4,鋼筋混凝土造,6.79,R1,1993/11/15 上午 12:00:00,4,200000,陽台,2.21,6040000,1,26
64,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1977/8/12 上午 12:00:00,1,360000,,,10429200,1,70
65,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,B2,1985/1/30 上午 12:00:00,1,710000,其他,0.89,21875100,1,16
66,B,商業用,新北市,新莊區,4,鋼筋混凝土造,,R1,1980/4/14 上午 12:00:00,1,430000,,,10006100,1,64
67,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1980/10/22 上午 12:00:00,2,260000,,,6398600,1,50
68,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,28.99,R2,1993/8/3 上午 12:00:00,B2,0,,,16726000,1,25
69,A,住家用,新北市,新莊區,4,鋼筋混凝土造,24.06,R2,2008/4/24 上午 12:00:00,6,260000,其他,4.04,13163800,1,23
70,A,住家用,新北市,新莊區,4,鋼筋混凝土造,9.02,R2,1995/1/2 上午 12:00:00,8,275000,陽台,2.8,8635000,1,40
71,A,住家用,新北市,新莊區,4,鋼筋混凝土造,1.63,R1,1985/8/22 上午 12:00:00,1,390000,其他,3.71,11485500,1,29
72,A,住家用,新北市,新莊區,4,鋼筋混凝土造,14.95,R2,1993/9/7 上午 12:00:00,9,310000,陽台,4.68,15213600,1,38
73,A,住家用,新北市,新莊區,4,鋼筋混凝土造,28.99,R2,1993/8/3 上午 12:00:00,2,290000,陽台,3.01,16726000,1,25
74,A,住家用,新北市,新莊區,8,加強磚造,,R1,1973/10/30 上午 12:00:00,3,295000,,,6513600,1,69
75,A,住家用,新北市,新莊區,4,鋼筋混凝土造,4,R2,1989/6/26 上午 12:00:00,8,300000,陽台,2.29,10323000,1,22
76,A,住家用,新北市,新莊區,8,加強磚造,,R5,1967/5/1 上午 12:00:00,999,700,其他,2,11188002,1,37
77,A,住家用,新北市,新莊區,4,鋼筋混凝土造,22.64,R2,1997/1/28 上午 12:00:00,1,320000,陽台,3.79,16787200,1,49
78,A,住家用,新北市,新莊區,8,加強磚造,,R1,1973/10/16 上午 12:00:00,1,420000,,,11814600,1,65
79,A,住家用,新北市,新莊區,4,鋼筋混凝土造,13.4,R2,1993/8/30 上午 12:00:00,5,250000,陽台,3.39,9977500,1,68
80,A,住家用,新北市,新莊區,4,鋼筋混凝土造,2.47,R1,1986/12/12 上午 12:00:00,4,250000,陽台,4.09,8007500,1,17
81,A,住家用,新北市,新莊區,4,鋼筋混凝土造,13.21,R2,1996/3/26 上午 12:00:00,8,260000,陽台,1.14,5032400,1,31
82,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1988/9/14 上午 12:00:00,3,250000,其他,5.07,10822500,1,20
83,A,住家用,新北市,新莊區,4,鋼筋混凝土造,41.11,R2,1999/5/26 上午 12:00:00,2,280000,陽台,2.05,38973400,1,52
84,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1976/12/20 上午 12:00:00,1,800000,,,16736000,1,61
85,A,住家用,新北市,新莊區,4,鋼筋混凝土造,41.11,R2,1999/5/26 上午 12:00:00,2,280000,陽台,2.05,38973400,1,45
86,A,住家用,新北市,新莊區,4,鋼筋混凝土造,8.45,R2,1994/3/19 上午 12:00:00,4,320000,陽台,2.66,10915200,1,27
87,A,住家用,新北市,新莊區,4,鋼筋混凝土造,15.51,R2,1991/4/22 上午 12:00:00,10,250000,陽台,6.54,16912500,1,42
88,C,工業用,新北市,新莊區,4,鋼筋混凝土造,5.95,R2,1994/5/26 上午 12:00:00,1月2日,343200,陽台,2.5,15533232,1,20
89,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1977/4/12 上午 12:00:00,3,290000,,,6472800,1,62
90,A,住家用,新北市,新莊區,8,加強磚造,,R1,1968/9/15 上午 12:00:00,4,200000,,,5744000,1,16
91,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1980/2/7 上午 12:00:00,4,230000,,,5676400,1,41
92,A,住家用,新北市,新莊區,4,鋼筋混凝土造,20.12,R2,2002/8/19 上午 12:00:00,8,330000,陽台,2.49,11897300,1,12
93,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,21.17,R2,2008/4/24 上午 12:00:00,13,260000,陽台,3.19,10514400,1,63
94,B,商業用,新北市,新莊區,4,鋼筋混凝土造,41.11,R2,1999/5/26 上午 12:00:00,1,450000,陽台,2.23,38973400,1,45
95,A,住家用,新北市,新莊區,8,加強磚造,,R5,1976/4/14 上午 12:00:00,999,5000,,,24324650,1,8
96,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,21.17,R2,2008/4/24 上午 12:00:00,13,260000,陽台,3.19,10514400,1,63
97,A,住家用,新北市,新莊區,8,加強磚造,,R5,1976/4/14 上午 12:00:00,999,7000,,,17375550,1,37
98,A,住家用,新北市,新莊區,4,鋼筋混凝土造,7.25,R2,1994/3/19 上午 12:00:00,5,330000,陽台,2.34,9971400,1,16
99,A,住家用,新北市,新莊區,8,加強磚造,,R1,1976/10/7 上午 12:00:00,4,255000,,,6599400,1,55
100,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,7.03,R2,2017/8/4 上午 12:00:00,13,300000,其他,1.61,6297000,1,56
101,A,住家用,新北市,新莊區,4,鋼筋混凝土造,2.61,R1,1987/12/8 上午 12:00:00,5,260000,陽台,4.37,9094800,1,42
102,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,25.54,R5,2009/11/18 上午 12:00:00,999,230000,其他,10.04,23064400,1,48
103,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,31.11,R2,2012/1/18 上午 12:00:00,9,380000,其他,6.62,29172600,1,38
104,P,停車空間,新北市,新莊區,4,鋼筋混凝土造,3.17,R2,1993/7/27 上午 12:00:00,B1,0,,,10815200,1,26
105,A,住家用,新北市,林口區,4,鋼筋混凝土造,19,R2,2008/10/13 上午 12:00:00,10,245000,其他,2.19,10606000,1,71
106,A,住家用,新北市,林口區,4,鋼筋混凝土造,1.68,R1,1994/3/25 上午 12:00:00,4,150000,陽台,2.66,6729000,1,79
107,Z,見其它登記事項,新北市,林口區,4,鋼筋混凝土造,10.26,R2,1996/11/21 上午 12:00:00,1,260000,陽台,3.56,8511800,1,69
108,P,停車空間,新北市,林口區,4,鋼筋混凝土造,8.07,R2,1989/11/27 上午 12:00:00,B2,0,,,12420900,1,67
109,A,住家用,新北市,林口區,4,鋼筋混凝土造,8.23,R2,1996/1/26 上午 12:00:00,8,250000,陽台,2.45,7042500,1,28
110,A,住家用,新北市,林口區,4,鋼筋混凝土造,24.6,R2,2012/10/15 上午 12:00:00,7,275000,其他,4.38,15102250,1,51
111,B,商業用,新北市,林口區,4,鋼筋混凝土造,,R1,1978/10/25 上午 12:00:00,1,180000,,,5380200,1,32
112,A,住家用,新北市,林口區,4,鋼筋混凝土造,8.23,R2,1996/1/26 上午 12:00:00,8,250000,陽台,2.45,7042500,1,28
113,P,停車空間,新北市,林口區,4,鋼筋混凝土造,8.07,R2,1989/11/27 上午 12:00:00,B2,0,,,12420900,1,67
114,A,住家用,新北市,林口區,4,鋼筋混凝土造,8.07,R2,1989/11/27 上午 12:00:00,11,170000,陽台,4.5,12420900,1,67
115,Z,見其它登記事項,新北市,林口區,4,鋼筋混凝土造,20.52,R2,2012/5/17 上午 12:00:00,3,240000,陽台,7.2,16143200,1,5
116,A,住家用,新北市,林口區,4,鋼筋混凝土造,,R1,1980/2/11 上午 12:00:00,3,145000,,,4409450,1,65
117,A,住家用,新北市,林口區,4,鋼筋混凝土造,24.6,R2,2012/10/15 上午 12:00:00,7,275000,其他,4.38,15102250,1,51
118,A,住家用,新北市,林口區,4,鋼筋混凝土造,4,R2,1990/7/4 上午 12:00:00,9,190000,其他,8.5,13303200,1,34
119,Z,見其它登記事項,新北市,林口區,4,鋼筋混凝土造,4,R2,1990/7/4 上午 12:00:00,B,0,其他,15.26,13303200,1,34
120,A,住家用,新北市,林口區,4,鋼筋混凝土造,8.07,R2,1989/11/27 上午 12:00:00,11,170000,陽台,4.5,12420900,1,67
121,A,住家用,新北市,林口區,4,鋼筋混凝土造,1.15,R2,1990/12/22 上午 12:00:00,7,160000,陽台,4.1,9136000,1,80
122,A,住家用,新北市,林口區,4,鋼筋混凝土造,17.84,R2,2006/4/20 上午 12:00:00,9,220000,陽台,3.72,8598600,1,57
123,Z,見其它登記事項,新北市,林口區,4,鋼筋混凝土造,10.26,R2,1996/11/21 上午 12:00:00,1,260000,陽台,3.56,8511800,1,69
124,Z,見其它登記事項,新北市,林口區,4,鋼筋混凝土造,22.22,R2,2008/7/29 上午 12:00:00,3,250000,陽台,1.38,8767500,1,60
125,Z,見其它登記事項,新北市,林口區,4,鋼筋混凝土造,1.15,R2,1990/12/22 上午 12:00:00,B1,160000,,,9136000,1,80
126,A,住家用,新北市,林口區,4,鋼筋混凝土造,5.81,R2,1995/8/2 上午 12:00:00,3,210000,陽台,1.77,5665800,1,44
127,Z,見其它登記事項,新北市,林口區,4,鋼筋混凝土造,1.15,R2,1990/12/22 上午 12:00:00,B2,0,,,9136000,1,80
128,A,住家用,新北市,五股區,4,鋼筋混凝土造,1.59,R2,1992/11/30 上午 12:00:00,7,195000,陽台,2.35,4465500,1,48
129,Z,見其它登記事項,新北市,五股區,4,鋼筋混凝土造,20.45,R2,2013/10/14 上午 12:00:00,12,255000,其他,6.02,13145850,1,69
130,Z,見其它登記事項,新北市,五股區,4,鋼筋混凝土造,20.45,R2,2013/10/14 上午 12:00:00,12,255000,其他,6.02,13145850,1,69
131,Z,見其它登記事項,新北市,五股區,4,鋼筋混凝土造,14.53,R2,2013/1/14 上午 12:00:00,2,240000,其他,1.99,6846400,1,59
132,A,住家用,新北市,五股區,4,鋼筋混凝土造,5.94,R2,1994/7/2 上午 12:00:00,2,190000,其他,3.45,6922500,1,74
133,A,住家用,新北市,五股區,4,鋼筋混凝土造,,R1,1978/8/15 上午 12:00:00,3,170000,,,4233000,1,70
134,A,住家用,新北市,五股區,4,鋼筋混凝土造,3.29,R2,1995/3/15 上午 12:00:00,4,200000,陽台,2.38,6248000,1,52
135,B,商業用,新北市,五股區,4,鋼筋混凝土造,2.01,R2,1992/3/17 上午 12:00:00,B1,205000,,,7784800,1,21
136,A,住家用,新北市,五股區,4,鋼筋混凝土造,2.01,R2,1992/3/17 上午 12:00:00,6,205000,其他,4.41,7784800,1,21
137,A,住家用,新北市,五股區,4,鋼筋混凝土造,20.18,R2,2000/2/12 上午 12:00:00,3,190000,陽台,4.69,7901500,1,44
138,A,住家用,新北市,五股區,4,鋼筋混凝土造,5.17,R2,1995/3/15 上午 12:00:00,8,225000,其他,2.93,5845500,1,65
139,A,住家用,新北市,五股區,4,鋼筋混凝土造,20.18,R2,2000/2/12 上午 12:00:00,3,190000,陽台,4.69,7901500,1,44
140,A,住家用,新北市,五股區,4,鋼筋混凝土造,5.17,R2,1995/3/15 上午 12:00:00,8,200000,其他,2.93,5196000,1,46
141,A,住家用,新北市,五股區,4,鋼筋混凝土造,7.94,R2,1996/5/21 上午 12:00:00,4,200000,陽台,3.02,5980000,1,11
142,Z,見其它登記事項,新北市,五股區,4,鋼筋混凝土造,2.01,R2,1992/3/17 上午 12:00:00,B1,0,,,7784800,1,21
143,A,住家用,新北市,五股區,4,鋼筋混凝土造,14.74,R2,2004/11/18 上午 12:00:00,2,230000,陽台,5.35,8449700,1,69
144,C,工業用,新北市,五股區,4,鋼筋混凝土造,19.51,R2,1996/6/11 上午 12:00:00,12,155000,陽台,2.87,6359100,1,66
145,C,工業用,新北市,五股區,4,鋼筋混凝土造,9.35,R2,1996/6/11 上午 12:00:00,10,175000,陽台,3.54,5780250,1,70
146,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,,R1,1983/10/20 上午 12:00:00,4,250000,陽台,1.65,6167500,1,15
147,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,5.15,R1,1996/11/11 上午 12:00:00,4,235000,陽台,0.77,7148700,1,35
148,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,14.14,R2,1994/4/27 上午 12:00:00,4,300000,陽台,3.27,12300000,1,21
149,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,20.83,R2,2000/5/10 上午 12:00:00,3,325000,其他,4.46,10523750,1,30
150,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,,R1,1990/2/19 上午 12:00:00,2,250000,陽台,2.94,19482600,1,27
151,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,,R1,1983/10/1 上午 12:00:00,4,255000,陽台,2.73,6313800,1,58
152,Z,見其它登記事項,新北市,蘆洲區,4,鋼筋混凝土造,5.03,R2,1996/6/12 上午 12:00:00,1,370000,陽台,2.69,13098000,1,39
153,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,,R1,1988/11/28 上午 12:00:00,3,250000,陽台,2.67,7282500,1,48
154,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,15.78,R2,1995/1/26 上午 12:00:00,12,300000,其他,3.2,12179000,1,39
155,B,商業用,新北市,蘆洲區,8,加強磚造,,R1,1975/8/26 上午 12:00:00,1,340000,,,6789800,1,41
156,Z,見其它登記事項,新北市,蘆洲區,4,鋼筋混凝土造,0.61,R2,1993/1/16 上午 12:00:00,B1,320000,,,8400000,1,48
157,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,,R1,1984/12/21 上午 12:00:00,2,260000,陽台,2.18,7061600,1,29
158,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,17.23,R2,2001/2/15 上午 12:00:00,8,320000,陽台,2.75,13340000,1,30
159,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,14.98,R2,1993/1/11 上午 12:00:00,6,330000,陽台,2.9,11674200,1,11
160,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,6.38,R2,2002/12/19 上午 12:00:00,2,320000,陽台,3.28,10758400,1,52
161,P,停車空間,新北市,蘆洲區,4,鋼筋混凝土造,2.66,R2,1990/8/10 上午 12:00:00,B1-B2,,,,12375600,1,36
162,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,5.03,R2,1996/6/12 上午 12:00:00,8,370000,陽台,3.66,13098000,1,39
163,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,14.14,R2,1994/4/27 上午 12:00:00,4,300000,陽台,3.27,12300000,1,21
164,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,,R1,1983/10/20 上午 12:00:00,4,300000,陽台,1.65,7401000,1,15
165,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,,R1,1986/11/17 上午 12:00:00,3,270000,陽台,2.73,7670700,1,48
166,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,5.27,R2,1993/8/13 上午 12:00:00,4,290000,陽台,1.5,8169300,1,25
167,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,2.66,R2,1990/8/10 上午 12:00:00,5,270000,其他,4.41,12375600,1,36
168,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,,R1,1983/5/27 上午 12:00:00,3,245000,陽台,2.73,6482700,1,32
169,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,,R1,1988/3/28 上午 12:00:00,4,230000,陽台,3.49,8351300,1,26
170,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,0.75,R1,1993/6/25 上午 12:00:00,2,290000,陽台,3.09,9723700,1,20
171,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,,R1,1990/2/19 上午 12:00:00,1,320000,其他,2.94,19482600,1,27
172,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,,R1,1986/4/21 上午 12:00:00,3,280000,陽台,2.5,7296800,1,13
173,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,,R1,1990/2/19 上午 12:00:00,2,260000,陽台,2.94,8886800,1,59
174,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,,R1,1984/10/9 上午 12:00:00,5,260000,陽台,2.46,6510400,1,33
175,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,34.7,R2,1998/11/19 上午 12:00:00,8,320000,陽台,0.66,18358400,1,45
176,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,6.05,R2,1999/11/9 上午 12:00:00,2,265000,陽台,4.1,9280300,1,77
177,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,20.83,R2,2000/5/10 上午 12:00:00,3,325000,其他,4.46,10523750,1,30
178,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,,R1,1988/8/19 上午 12:00:00,5,280000,陽台,4.11,8050000,1,66
179,Z,見其它登記事項,新北市,蘆洲區,4,鋼筋混凝土造,5.03,R2,1996/6/12 上午 12:00:00,1,370000,陽台,2.69,13098000,1,16
180,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,,R1,1989/8/14 上午 12:00:00,2,240000,陽台,3.29,8186400,1,59
181,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,19.24,R2,2004/12/23 上午 12:00:00,5,375000,陽台,2.73,28353750,1,54
182,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,5.9,R2,1991/7/8 上午 12:00:00,6,290000,其他,3.94,26067900,1,54
183,P,停車空間,新北市,蘆洲區,4,鋼筋混凝土造,2.66,R2,1990/8/10 上午 12:00:00,B1-B2,,,,12375600,1,36
184,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,9.24,R2,1995/11/4 上午 12:00:00,8,270000,陽台,2.95,8195300,1,70
185,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,14.32,R2,1994/12/2 上午 12:00:00,5,280000,陽台,2.73,9636800,1,13
186,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,15.78,R2,1995/1/26 上午 12:00:00,12,300000,陽台,3.2,11679000,1,33
187,Z,見其它登記事項,新北市,蘆洲區,4,鋼筋混凝土造,,B2,1986/4/21 上午 12:00:00,1,720000,其他,2.56,19224000,1,23
188,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,20.06,R2,2000/5/3 上午 12:00:00,8,280000,陽台,3.48,13759200,1,59
189,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,19.02,R2,1997/4/9 上午 12:00:00,2,280000,陽台,3.04,11818800,1,25
190,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,6.63,R2,1995/9/23 上午 12:00:00,9,320000,陽台,4.79,10348800,1,30
191,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,19.24,R2,2004/12/23 上午 12:00:00,5,375000,陽台,3.5,28353750,1,54
192,A,住家用,新北市,蘆洲區,4,鋼筋混凝土造,5.25,R2,1999/8/19 上午 12:00:00,6,290000,陽台,2.26,8815500,1,67
